id,name,symbol,market_cap_rank,current_price
spiko-us-t-bills-money-market-fund,Spiko US T-Bills Money Market Fund,ustbl,473,1.046
usual,Usual,usual,474,0.103978
liquity,Liquity,lqty,475,1.01
biconomy,Biconomy,bico,476,0.102989
yield-guild-games,Yield Guild Games,ygg,477,0.187292
prometeus,Prom,prom,478,5.38
sats-ordinals,SATS (Ordinals),sats,479,4.6737e-08
delysium,Delysium,agi,480,0.057033
solv-protocol-solvbtc-jupiter,Solv Protocol SolvBTC Jupiter,solvbtc.jup,481,110988.0
bc-token,BCGame Coin,bc,482,0.00972008
restaked-swell-eth,Restaked Swell ETH,rsweth,483,2667.24
altlayer,AltLayer,alt,484,0.0275098
centrifuge,Centrifuge [OLD],cfg,485,0.175873
nkyc-token,NKYC Token,nkyc,486,23.95
redstone-oracles,RedStone,red,487,0.339678
l2-standard-bridged-frxusd,L2 Standard Bridged frxUSD,frxusd,488,1.001
cetus-protocol,Cetus Protocol,cetus,489,0.130599
trinique,TNQ,tnq,490,0.999642
velo,Velo,velo,491,0.01275793
bitmart-token,BitMart,bmx,492,0.277554
usd-coin-ethereum-bridged,Arbitrum Bridged USDC (Arbitrum),usdc.e,493,1.001
carv,CARV,carv,494,0.338966
stratis,Stratis,strax,495,0.04717031
aevo-exchange,Aevo,aevo,496,0.102724
neiro-on-eth,Neiro on ETH,neiro,497,0.092555
audius,Audius,audio,498,0.069531
songbird,Songbird,sgb,499,0.00583242
iostoken,IOST,iost,500,0.0035848
